			 			12252
Biomedical Informatics Lab, Department of Biomedical Engineering, University of Texas Austin, TX			University of Texas at Austin			1
Biomedical Research Foundation, Academy of Athens, 4 Soranou Efesiou Street, Athens 11527, Greece			 			1
Biometric Center, West Virginia University, Morgantown, WV 26506-6109, USA			 			1
Biometric Research Center, Department of Computing, Hong Kong Polytechnic University, Kowloon, Hong Kong			The Hong Kong Polytechnic University			1
Biometric Research Center, Department of Computing, The Hong Kong Polytechnic University, Kowloon, Hong Kong, China and State Key Laboratory of Integrated Service Networks, Xidian University, Xi'a ...			The Hong Kong Polytechnic University			1
Biometrics Center, Lane Department of Computer Science and Electrical Engineering, College of Engineering and Mineral Resources, West Virginia University, Morgantown, WV			 			1
Biometrics Engineering Research Center, School of Electrical & Electronic Engineering, Yonsei University, Seoul, Korea			Yonsei University			1
Biometrics Research Center, Hong Kong Polytechnic University, Hong Kong and Shenzhen Graduate School, Tsinghua University, China			The Hong Kong Polytechnic University			1
Biometrics Research Centre Department of Computing, The Hong Kong Polytechnic University Kowloon, Hong Kong			The Hong Kong Polytechnic University			1
Biometrics Research Centre, Department of Computing, Hong Kong Polytechnic University, Hong Kong, China			The Hong Kong Polytechnic University			1
Biometrics Research Centre, Department of Computing, The Hong Kong Polytechnic University, Hong Kong			The Hong Kong Polytechnic University			1
Biometrics Research Centre, Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, PR China			The Hong Kong Polytechnic University			1
Biometrics Research Centre, Department of Computing, The Hong Kong Polytechnic University, Kowloon, Hong Kong and Pattern Analysis and Machine Intelligence Lab, Department of Electrical and Comput ...			The Hong Kong Polytechnic University			1
Biometrics Research Centre, Department of Computing, the Hong Kong Polytechnic University, Hong Kong			The Hong Kong Polytechnic University			1
Biometrics Research Centre, Hong Kong Polytechnic University, Hong Kong, China			The Hong Kong Polytechnic University			1
Biometrics Research Laboratory, Indian Institute of Technology Delhi, New Delhi, India and Department of Computing, The Hong Kong Polytechnic University, Hong Kong			Indian Institute of Technology Delhi			1
Biometrics Solutions, Motorola			 			1
Biosciences and Technology Department, KH Kempen University College, Belgium			 			1
Biostatistics & Medical Informatics and Computer Sciences, University of Wisconsin-Madison, Madison, WI 53706, USA			University of Wisconsin-Madison			1
Birkbeck College, University of London			Kings College London			1
Birkbeck College, University of London, London			Kings College London			1
Birkbeck, U. London, London, United Kingdom			 			1
Birkbeck, University of London, London, United Kngdm			Kings College London			1
Birla Institute of Technology & Science Pilani			 			1
Birla Institute of Technology Mesra Ranchi			 			1
Birmingham Health and Wellbeing Partnership, Edgbaston, Birmingham, UK and Centre of Excellence for Research in Computational Intelligence and Applications, University of Birmingham, Edgbaston, Bi ...			University of Birmingham			1
Birzeit University			 			1
Birzeit University, Birzeit			 			1
Bitway Inc., Berkeley, CA			 			1
Black Duck Software, USA, USA, USA			 			1
Blekinge Institute of Technology, Ronneby			 			1
Blekinge Institute of Technology, Ronneby Sweden			 			1
Bloomberg L.P., New York, NY			 			1
Bloomberg LP, New York, NY and Department of Electrical and Computer Engineering, Iowa State University, Ames, IA			Iowa State University			1
Blue Cell Software			 			1
Blue Cell Software, Los Angeles, CA, USA			 			1
BlueCoat Systems, Sunnyvale			 			1
BlueStripe Software			 			1
Bluespec Inc., USA			 			1
Bnai Zion Medical Center			 			1
Boalt School of Law, UC Berkeley, Berkeley, CA			University of California, Berkeley			1
Bocconi University, Milan			 			1
Boeing			 			1
Boeing Co.			 			1
Boeing Commercial Airplanes, Seattle, WA			 			1
Boeing Company			 			1
Boeing Company, El Segundo, CA and Department of Electrical Engineering, University of Southern California, Los Angeles, CA			University of Southern California			1
Boeing Information Technology			 			1
Boeing Phantom Works and University of Washington, Seattle			University of Washington			1
Boeing Phantom Works, Seattle			 			1
Boeing Phantom Works, Seattle, WA			 			1
Boeing Senior Technical Fellow			 			1
Bogazici University, Istanbul			 			1
Boire Filler Group, Pickering, ON, Canada			 			1
Bombardier Aerospace, Montreal, QC, Canada and Laboratory of Applied Research in Active Controls, Avionics and Aeroservoelasticity, Ècole de Technologie Supérieure, University of Quebec, ...			 			1
Booz Allen Hamilton			 			1
Booz Allen Hamilton, Linthicum MD and Shmoo Group of security professionals			 			1
Bordeaux 1 University, Talence			 			1
Bordeaux 2 University, Talence			 			1
Bosch Corporate Research, Pittsburgh, PA, USA			 			1
Boston College, Chestnut Hill			 			1
Boston College, Chestnut Hill, MA			 			1
Boston University School of Law, Boston, MA			Boston University			1
Boston University School of Medicine, Boston, MA, USA			Boston University			1
Boston University and Akamai Technologies, Inc.			Boston University			1
Boston University and Akamai, USA			Boston University			1
Boston University, Boston, MA and Akamai Technologies Inc.			Boston University			1
Boston University, Boston, Massachusetts, USA			Boston University			1
Boston University, Boston, USA 02215			Boston University			1
Bourgogne University			 			1
Bournemouth University			 			1
Bournemouth University, Dorset, United Kingdom			 			1
Bowdoin College			 			1
Bowdoin College, Brunswick, ME			 			1
Bowie State University, Bowie, MD			 			1
Bowling Green State University			 			1
Bowling Green State University, Bowling Green, OH			 			1
Bradford School of Management in Bradford, England			 			1
Bradford School of Optometry and Vision Science, University of Bradford, Bradford, England BD7 1DP			 			1
Bradley University, Peoria, IL			 			1
Brain Science Institute, RIKEN, Wako-shi, Saitama, Japan			 			1
Brain Science Institute, Wako, Saitama, Japan			 			1
Brainstorm Technology LLC, New York, USA			 			1
Brainstorm Technology New York,  NY			 			1
Brandeis University, Waltham			 			1
Brandenburg Technical University Cottbus, Garmisch-Partenkirchen			 			1
Brandenburgische Technische Universität Cottbus			 			1
Braunschweig University			 			1
Braunschweig University of Technology			 			1
Braunschweig University of Technology, Braunschweig, Germany			 			1
Bremen University, Germany			 			1
Brigham Young University & PLT, Provo, UT, USA			 			1
Brigham Young University Hawaii, Laie			 			1
Brigham Young University, Probo, UT, USA			 			1
Brigham and Women's Hospital			 			1
Brigham and Women's Hospital, Boston			 			1
Brigham and Women's Hospital/Harvard Medical School, Boston, MA			 			1
Brigham and Women’s Hospital			 			1
Brion Tech. Inc., Santa Clara, CA			 			1
Brion Technology Inc., Santa Clara, CA			 			1
Bristol University, Bristol			University of Bristol			1
British Airways			 			1
British Broadcasting Corporation			 			1
British Broadcasting Corporation, London			 			1
British Computer Society's HCI group and University of Birmingham, U.K.			University of Birmingham			1
British Medical Association			 			1
British Telecom Group CTO, Ipswich			 			1
British Telecommunications Plc, Ipswich, United Kingdom			 			1
Brno University of Technology			 			1
Brno University of Technology, Speech@FIT, Czech Republic			 			1
Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, U.S.A. ljosa@broad.mit.edu			Massachusetts Institute of Technology			1
Broadband Applications Research Centre, Adastral Park, Martlesham Heath, Suffolk, UK			 			1
Broadband Conversions Network Research Division, Electronics and Telecommunications Research Institute, Daejeon, Korea			 			1
Broadband Networks & Digital Media Laboratory of Automation Department, Tsinghua University, Beijing, China and Institute of Computing Technology, Chinese Academy of Sciences and the Graduate Scho ...			Chinese Academy of Sciences			1
Broadband Networks and Digital Media Laboratory, Automation Department, Tsinghua University, Beijing, China			Tsinghua University			1
Broadband Networks and Digital Media Laboratory, Automation Department, Tsinghua University, Beijing, China and Graduate School and Institute of Computing Technology, Chinese Academy of Sciences,  ...			Chinese Academy of Sciences			1
Broadband Networks and Digital Media Laboratory, Department of Automation, Tsinghua University, Beijing, China			Tsinghua University			1
Broadcasting and Telecommunications Media Research Division, Electronics and Telecommunications Research Institute, Daejeon, Korea			 			1
Broadcom Corp., Irvine, CA			 			1
Broadcom Corporation, Irvine, CA and Department of Electrical Engineering, University of Southern California, Los Angeles, CA			University of Southern California			1
Broadcom Corporation, Santa Clara			 			1
Broadcom Corporation, Santa Clara, CA			 			1
Brock University			 			1
Brooklyn College of the City University of New York			 			1
Brooklyn College, CUNY, Brooklyn, NY			 			1
Brooklyn College, City University of New York, Brooklyn, NY			 			1
Brooklyn, NY.			 			1
Brown Deer Technology, Forest Hill, MD			 			1
Brown Medical School, Providence			 			1
Brown Univeristy, Providence, RI			 			1
Brown University and Sun Microsystems Laboratories			Brown University			1
Brown University in Providence, RI			Brown University			1
Brown University,			Brown University			1
Brown University, Providence, R.I.			Brown University			1
Brown University, Providence, USA 02912			Brown University			1
Brown University,Providence			Brown University			1
Brown University. jennie@cs.brown.edu			Brown University			1
Brown University. olga@cs.brown.edu			Brown University			1
Brown University. sbz@cs.brown.edu			Brown University			1
Brown University. tige@cs.brown.edu			Brown University			1
Brown University. ugur@cs.brown.edu			Brown University			1
Brunel University Uxbridge, Middlesex, U. K.			Brunel University			1
Brunel University and London School of Economics and Political Science, London, U.K.			London School of Economics and Political Science			1
Brunel University, Middlesex, United Kingdom			Brunel University			1
Brunel University, U.K. and Tongji University, China			Brunel University			1
Brunel University, Uxbridge, London, U.K			Brunel University			1
Brunel University, Uxbridge, Middlesex			Brunel University			1
Brunel University, Uxbridge, Middlesex, U. K			Brunel University			1
Brunel University, Uxbridge, Middlesex, U. K.			Brunel University			1
Brunel University, West London			Brunel University			1
Bryant University in Smithfield, RI			 			1
Bryn Mawr College, Bryn Mawr, PA			 			1
Bröderna Ugglas Gata			 			1
Bucknell University, Lewisburg, PA			 			1
Budapest Institute of Technology and Economics, Budapest			 			1
Budapest Polytechnic)			 			1
Bukkyo University, Kyoto			 			1
Bulgarian Academy of Sciences, Bulgaria			 			1
Bungie Studios, Bellevue, WA, USA			 			1
Burda Digital			 			1
Business Objects			 			1
Business School of Korea University, Seoul, South Korea			Korea University			1
Butler University			 			1
Butler University, Indianapolis, IN, USA			 			1
Bâtiment IRCICA, Parc Scientifique de la Haute Borne 50, Villeneuve d'Ascq			 			1
Bâtiment IRCICA, Parc scientifique de la Haute Borne 50, Villeneuve d'Ascq			 			1
C&C Innovation Research Laboratories, NEC Corporation, Nara, Japan			NEC			1
C-Research - Linköping University, Sweden			 			1
C-Research - Linköping University, Sweden and Siemens Corporate Research, USA			Siemens			1
C.T. Bauer College of Business at the University of Houston, Houston, TX			 			1
C.T. Bauer College of Business, University of Houston, TX			 			1
C.W.I. Amsterdam; Centre for Quantum Computation, University of Oxford			University of Oxford			1
C3 Foundation			 			1
C8 MediSensors Inc., Los Gotos			 			1
CA Labs, Melbourne, Australia			 			1
CA)			 			1
CAD & Knowledge Solutions Group, Siemens Medical Solutions Inc., Malvern, PA			Siemens			1
CAIA), Faculty of Information and Communication Technologies, and Swinburne University of Technology, Hawthorn, VIC, Australia			 			1
CAIA, Swinburne University of Technology, Hawthorn, Vic., Australia			 			1
CAIDA			 			1
CALTECH, Pasadena			California Institute of Technology			1
CAMPAR, TUM, München, Germany			 			1
CAS-MPG Partner Institute of Computational Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 320 Yue Yan Road, Shanghai 200031, China			Chinese Academy of Sciences			1
CAS/CUHK Shenzhen Institutes of Advanced Technology, Shenzhen, China			Chinese University of Hong Kong			1
CASC - LLNL/CS-UC DAVIS			 			1
CASPUR, Rome			 			1
CAST, Fort Worth, TX, USA			 			1
CATS CO., LTD.			 			1
CATS), Rensselaer  ...			 			1
CCR and CyberDefense			 			1
CD-adapco, Austin			 			1
CDT)			 			1
CEA LIST, Fontenay aux Roses, France			 			1
CEA LIST, Gif-sur-Yvette Cedex, France			 			1
CEA LIST, Vision and Content Engineering Laboratory, Gif-sur-Yvette, France 91191			 			1
CEA, LIST, F-91191 Gif-sur-Yvette, France			 			1
CEA-CESTA, BP 2, Le Barp			 			1
CEA-LIST/LIC2M, Fontenay-aux-Roses			 			1
CEA-List, Saclay, France			 			1
CEA/LIST, Fontenay aux Roses, France			 			1
CEDRIC - CNAM, Paris cedex 03, France			 			1
CEDRIC-CNAM Paris, France			 			1
CEIT and Tecnun, San Sebastián			 			1
CELAR Technology Center, Bruz Cedex, France			 			1
CELC, Universidade de Lisboa, Lisboa, Portugal			 			1
CEMAGREF Montpellier, France			 			1
CENPARMI), Concordia University, 1455 de Maisonneuve Blvd West, Montréal, QC, Canada H3G-1M8			 			1
CENPARMI), Concordia University, 1455 de Maisonneuve Blvd West, Suite EV003.403, Montréal, QC, Canada, H3G 1M8			 			1
CENPARMI), Concordia University, 1455 de Maisonnneuve Blvd. West, Montreal, Quebec, Canada H3G 1M8			 			1
CENPES Petrobras			 			1
CENTRIA-Centre for Artificial Intelligence, Dep. de Informática, Universidade Nova Lisboa, Quinta da Torre, 2829-516 Caparica, Portugal and CITAB-Centre for the Research and Technology of Agr ...			Intel			1
CEREMADE, CNRS, Université Paris-Dauphine, Paris, France			 			1
CEREMADE, UMR 7534 Université Paris-Dauphine, Paris cedex 16, France 75775			 			1
CEREMADE, UMR CNRS 7534, Paris, France			 			1
CEREMADE, Universite Paris Dauphine, France			 			1
CERSIT, Algiers			 			1
CERTH - Informatics and Telematics Institute Greece, Thessaloniki, Greece			 			1
CERTIS - Ecole des Ponts, Marne-la-Vallée, France			 			1
CERTIS, Ecole Nationale des Ponts et Chaussees Champs-sur-Marne, France			 			1
CETIC			 			1
CH)			 			1
CHEO Research Institute, Ottawa, Ontario, Canada			 			1
CHT) Co., Ltd., Taiwan			 			1
CIDETEQ, Querétaro, México			 			1
CIFASIS), Av. Pelle ...			 			1
CIMS Laboratory, Department of Computing Science, University of Alberta, Edmonton, AB, Canada T6G 2P8 and Research Department, Syncrude Canada Ltd., Edmonton, AB, Canada T6N 1H4			University of Alberta			1
CIMeC), University of Tre ...			 			1
CIO Innovation Initiatives, IBM India Pvt. Ltd., Pune, India			IBM			1
CIR, Università Campus Bio-Medico di Roma, Roma			 			1
CIRAD, BIOS, Direction and INRA, UMR AMAP, F-34398, Montpellier, France			 			1
CIRAD, France			 			1
CIRAD, UMR AMAP, Montpellier, France			 			1
CIS, LMU München, Germany			 			1
CISM, University, United Kingdom			 			1
CISTIB), Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain 08018			 			1
CISUC, Department of Informatics Engineering, University of Coimbra, Coimbra, Portugal			 			1
CITI -- Department of Computer Science, FCT New University of Lisbon, Portugal			 			1
CITI/DI/FCT, Universidade Nova de Lisboa, Portugal			 			1
CITR), Department of Computer Science, University of Auckland, Auckland, New Zealand			The University of Auckland			1
CITY University London, London, UK			Kings College London			1
CLIPS-IMAG			 			1
CLiC - University of Barcelona, Barcelona, Spain			 			1
CMAP, Ecole Polytechnique, CNRS, Palaiseau, France 91128			 			1
CMAP, Ecole Polytechnique, Palaiseau Cedex, France			 			1
CMAP, UMR CNRS 7641, France			 			1
CMIV - Link öping University - Linköping University Hospital, Sweden			 			1
CMLA ENS Cachan, Cachan Cédex, Paris, France			 			1
CMLA UMR CNRS & UniverSud, Cachan Cedex, France			 			1
CMLA at the Ecole Normale Superieur, Cachan, Cachan Cedex, France			 			1
CMLA, ENS Cachan, Cachan, France			 			1
CMLA, ENS Cachan, France			 			1
CMLA, ENS de Cachan, Cachan Cedex, France 94235 and IIE, Fac. de Ingeniería, Universidad de la República, Montevideo, Uruguay 11.300			 			1
CMP, Czech Technical University, Prague, Czech Republic			Czech Technical University			1
CMR AS and the University of Bergen			 			1
CMS Software, Elekta Inc., St. Louis, USA 63043			 			1
CMU, USA			Carnegie Mellon University			1
CNAM, Paris, France			 			1
CNDS), Singapore			 			1
CNES, Toulouse, France 31401			 			1
CNIT), University of Genoa Research Uni ...			 			1
CNIT, University of Bolognay, Italy			 			1
CNR IEIIT-MI, Via Ponzio 34/5, 20133 Milano, Italy			 			1
CNR IEIIT-MI, Via Ponzio 34/5, 20133 Milano, Italy and Politecnico di Milano, P.zza L. da Vinci, 32, 20133 Milano, Italy			Politecnico di Milano			1
CNR of Pisa			 			1
CNR) - IIT, Pisa			 			1
CNR), Rome			 			1
CNRS & LIAFA, Univ. Paris 7, Paris, France			 			1
CNRS & TELECOM ParisTech, Paris, France			 			1
CNRS & Univ. Mediterranee, Marseille, France			 			1
CNRS & Univ. Paris-Sud, Orsay, France			 			1
CNRS & Université Paris Sud, Orsay, France			 			1
CNRS & Universitéé Paris-Sud, France			 			1
CNRS & ÉÉole normale supérieure de Lyon, Lyon Cedex 07, France			 			1
CNRS - Gipsa Lab, Grenoble			 			1
CNRS - LIRMM and School of Computer Science McGill Univ. Canada, Montpellier, France			McGill University			1
CNRS - Paris 7, France			 			1
CNRS - Université Paris-Sud), Orsay, France			 			1
CNRS -- Université Paris Diderot, Paris, France			 			1
CNRS / LORIA, Vandœuvre-Lès-Nancy Cedex, France			 			1
CNRS / UPMC Univ Paris 06			 			1
CNRS / Université Blaise Pascal), Clermont-Ferrand, France			 			1
CNRS LTCI, Telecom ParisTech, France			 			1
CNRS UMR 2658), Technopôle Brest-Iroîse, CS 83818, F-29238 Brest Cedex, France			 			1
CNRS UMR 6133), Université Paul Cézanne d'Aix-Marseille III, Dom. Univ. de St Jérôme, F-13013 Marseille Cedex 20, France			 			1
CNRS UMR 7093, l'Observatoire Océanologique de Villefranche sur Mer, France and Dipartimento di Informatica, Universití di Torino, Italy			 			1
CNRS and CEA/DAM, DIF, ENSIGMAG-Antenne de Montbonnot, Montbonnot Saint Martin			 			1
CNRS and Département de Mathématiques et Applications, Ecole Normale Supérieure, Paris, France 75005			 			1
CNRS and Laboratoire Jean Kuntzmann, Grenoble Cedex 9, France			 			1
CNRS and UPMC Sorbonne Universites, Paris, France			 			1
CNRS and Université Paris			 			1
CNRS and ÉNS Lyon/LIP, Lyon Cedex 07, France			 			1
CNRS) - Université Denis Diderot, Paris, France			 			1
CNRS, France, France			 			1
CNRS, Gières, France			 			1
CNRS, Grenoble			 			1
CNRS, LAAS, Toulouse			 			1
CNRS, LAAS, Toulouse, France 31077 and Université de Toulouse, UPS, INSA, INP, ISAE, LAAS-CNRS, Toulouse, France 31077 and Ictineu Submarins SL, Barcelona, Catalonia			 			1
CNRS, LINA, France			 			1
CNRS, Montbonnot, France			 			1
CNRS, Orsay, France			 			1
CNRS, PPS - Université Paris 7, Paris, France			 			1
CNRS, PPS UMR 7126, Univ Paris Diderot, Sorbonne Paris Cité, Paris, France			 			1
CNRS, Paris			 			1
CNRS, Rennes, France			 			1
CNRS, UMR 5525, Techniques de l'Imagerie, de la Modélisation et de la Cognition, Grenoble F-38706, France and Université Joseph Fourier, Grenoble F-38043, France			 			1
CNRS, UMR 7606, LIP6, F-75005 Paris, France			 			1
CNRS, UNSA, INRIA, Sophia-Antipolis, France and Dipartimento di Informatica, Università, di L'Aquila, L'Aquila, Italy			 			1
CNRS, Universit de Lyon, Lyon			 			1
CNRS, University of Lyon, and LIP			 			1
CNRS, University of Paris-Sud XI and INRIA, Orsay			 			1
CNRS, Université Paris Sud, LRI			 			1
CNRS, Université de Grenoble, INRIA Rhône-Alpes, Montbonnot, Saint Ismier			 			1
CNRS, Université de Lyon, Lyon and INRIA/Arénaire			 			1
CNRS, Université de Toulouse, Toulouse			 			1
CNRS, Université de Toulouse, Toulouse and Technical University of Lodz, Lodz			 			1
CNRS, Villeneuve d'Ascq			 			1
CNRS, gipsa-lab, UMR5216, F-38420, France			 			1
CNRS, École Normale Supérieure, and INRIA, France and Courant Institute, NYU, USA, Paris and New York, USA			New York University			1
CNRS, École Normale Supérieure, and INRIA, France, Paris, France			 			1
CNRS, école Normale Supérieure, Paris			 			1
CNRS-DEPSN, Institut de Neurobiologie Alfred Fessard, Gif sur Yvette, France			 			1
CNRS-LAAS, Toulouse, France			 			1
CNRS-LIG, Grenoble, France			 			1
CNRS-LIP, Arénaire, Lyon			 			1
CNRS-LTCI-Telecom ParisTech, Paris			 			1
CNRS-Lamsade, Université Paris Dauphine, Paris, France			 			1
CNRS-UPMC UMR			 			1
CNRS-Verimag Lab, Grenoble, France			 			1
CNRS/ENS Lyon/INRIA/Université Lyon 1)			 			1
CNRS/ENS/INRIA UMR 8548), Paris, France			 			1
CNRS/IRISA, France			 			1
CNRS/LORIA			 			1
CNRS/LORIA, Villers les Nancy, France			 			1
CNRS/LORIA, Villers lès Nancy CEDEX, France			 			1
CNRS/U. Montpellier), France			 			1
CNRS/UPMC Sorbonne Universites, Paris, France			 			1
CNRS/Université Blaise Pascal), Clermont-Ferrand, France			 			1
CNRS/Université Grenoble, Grenoble			 			1
COGS), University of Sussex, Brighton, UK			 			1
COMSATS Institute of Information Technology, Lahore, Pakistan			 			1
COPPE), Federal University of Rio de Janeiro, Rio de Janeiro, Brazil			 			1
COPPE/PESC - System Engineering and Computer Science Program - UFRJ, Rio de Janeiro, RJ, Brazil and NP2Tec - Research and Practice Group in Information Technology - UNIRIO			 			1
CRA) in Washington, D.C.			 			1
CRACS & Faculdade de Ciêências, Universidade do Porto, Porto, Portugal 4169-007			 			1
CRCS), Cambridge, USA			 			1
CREATE-NET, Trento			 			1
CRIBs), F ...			 			1
CRIBs), France			 			1
CRIEPI, Komae, Tokyo, Japan			 			1
CRIL -- Université d'Artois, rue de l'université -- SP16, 62307 Lens Cedex, France			 			1
CRIL, CNRS / Université d'Artois, rue Jean Souvraz, S.P. 18, 62307 Lens, France			 			1
CRIL, CNRS, Université Lille-Nord de France, Artois, France			 			1
CRIL, IUT de Lens, Rue de lUniversité, SP 16, 62300 Lens, France			 			1
CRIL, Lens, France			 			1
CRIL-CNRS / Université d'Artois, rue Jean Souvraz, S.P. 18, 62307 Lens Cedex, France			 			1
CRIL-CNRS, Université d'Artois, Lens			 			1
CRIL-CNRS, Université d'Artois, Lens Cedex, France			 			1
CRIL-CNRS, Université dArtois, 62307 Lens, France			 			1
CRIM, Montreal			 			1
CRL, IBM Ressearch, Beijing, China and Zattoo, Inc., Ann Arbor, MI			IBM			1
CRP Henri Tudor			 			1
CS Department at Colorado State University			 			1
CS Department at Johns Hopkins University			Johns Hopkins University			1
CS Department, Carnegie Mellon University, USA			Carnegie Mellon University			1
CS Department, UMASS, Amherst, MA			 			1
CS Department, Uni. of Bologna, Italy			 			1
CS Department, University of Mansoura, Egypt			 			1
CS Department, University of Pittsburgh, Pittsburgh, PA			University of Pittsburgh			1
CS Department, University of Texas, Austin, TX. pushpraj@cs.utexas.edu			University of Texas at Austin			1
CS Dept., Cornell University, Ithaca, NY			Cornell University			1
CS Dept., RPI, Rm 207 Lally, Troy, USA 12180			 			1
CS Storage Systems Dept., IBM Almaden Research Center			IBM			1
CS), Italy 87036			 			1
CSA, Indian Institute of Science, Bangalore, India			Indian Institute of Science			1
CSAIL MIT and University of Pennsylvania			Massachusetts Institute of Technology			1
CSAIL, MIT			Massachusetts Institute of Technology			1
CSCS Manno			 			1
CSCS)			 			1
CSE Department, University of Washinton, USA			 			1
CSE, IIT Kanpur, India			 			1
CSEE Department, University of Missouri at Kansas City, Kansas City, MO			University of Missouri			1
CSIC), Santiago de Compostela			 			1
CSIC, Spanish National Research Council , Bellaterra			 			1
CSIC-UPC), Barcelona, Spain 08028			 			1
CSIE of Ching-Yun University, Jung-Li, Taiwan, R.O.C.			 			1
CSIE of National Chiao-Tung University, Hsinchu Taiwan, R.O.C.			National Chiao Tung University			1
CSIE of National Chiao-Tung University, Hsinchu, Taiwan, R.O.C.			National Chiao Tung University			1
CSIRO & ANU, Yarralumla, Australia			 			1
CSIRO - ICT Centre, Canberra, Australia			 			1
CSIRO - Tasmanian ICT Centre, Hobart, Australia			 			1
CSIRO / ANU , Canberra, Australia			 			1
CSIRO Energy Centre, Mayfield West, Australia 2304			 			1
CSIRO ICT Center, Australia			 			1
CSIRO ICT Centre, Brisbane, Australia			 			1
CSIRO ICT Centre, Epping, Australia			 			1
CSIRO ICT Centre, Epping, Australia and Macquarie University, North Ryde, Australia			 			1
CSIRO Land and Water, Canberra			 			1
CSIRO Mathematics, Wembley			 			1
CSIRO), Brisbane, Australia			 			1
CSIRO), Sydney, Australia			 			1
CSIRO, Brisbane, QLD, Australia and Google, Inc., Mountain View, CA and Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA			University of California, San Diego			1
CSIRO, Canberra			 			1
CSIS, George Mason University, Fairfax County, USA			 			1
CSLI, Stanford University			Stanford University			1
CSSAR, Chinese Academy of Sciences, Beijing, China			Chinese Academy of Sciences			1
CST Department, Tsinghua University			Tsinghua University			1
CST Department, Tsinghua University and SKLNST, Beijing University of Post and Telecommunication			Tsinghua University			1
CST-University of Copenhagen, København S, Denmark			University of Copenhagen			1
CSU Monterey Bay, Seaside, CA, USA			 			1
CTI Renato Archer, Campinas, Brazil CEP 13.069-901 and INRIA Sophia-Antipolis, Sophia-Antipolis Cedex, France 06902			 			1
CTIT, University of Twente, The Netherlands. apers@ewi.utwente.nl			University of Twente			1
CTIT, University of Twente, The Netherlands. heerdehjw@ewi.utwente.nl			University of Twente			1
CTO MOSTforWATER N.V., Belgium			 			1
CTO, Information Management, IBM Silicon Valley Laboratory, San Jose, CA			IBM			1
CTTC, Parc Mediterrani de la Tecnologia, Barcelona, Spain			 			1
CTU-Ericsson-Vodafone Research and Development, Prague, Czech Republic			 			1
CUHK			Chinese University of Hong Kong			1
CUHK, Hong Kong, Hong Kong			Chinese University of Hong Kong			1
CUNY), New York, NY			 			1
CURE - Center for Usability Research & Engineering, Vienna, Austria and University of Salzburg, Salzburg, Austria			 			1
CVC), Bellaterra, Spain 08193			 			1
CVC), Universitat Autònoma de Barcelona, Edifici O Campus Bellaterra, 08193 Bellaterra, Spain			 			1
CVL, Linköping University, Linköping, Sweden and CVSSP, University of Surrey, Guildford, UK			University of Surrey			1
CVPR Unit, Indian Statistical Institute, India			 			1
CVPR Unit, Indian Statistical Institute, Kolkata, India			 			1
CVSSP, University of Surrey, Guildford, UK			University of Surrey			1
CWI Amsterdam & Mathematical Institute, Leiden University, The Netherlands			Leiden University			1
CWI and Vrije Universiteit, Amsterdam, Netherlands			 			1
CWI), Amsterdam, Netherlands			 			1
CWI), CWI, Science Park 123, 1098 XG Amsterdam, The Netherlands			 			1
CWI), CWI, Science Park 123, 1098 XG Amsterdam, The Netherlands and University Amsterdam, Amsterdam, The Netherlands			University of Amsterdam			1
CWI), The Netherlands and University of Amsterdam, The Netherlands			University of Amsterdam			1
CWI, Amsterdam			 			1
CWI, Amsterdam & Mathematical Institute, Leiden University, The Netherlands			Leiden University			1
CWI, Amsterdam, The Netherlands. Martin.Kersten@cwi.nl			 			1
CWI, Amsterdam, The Netherlands. milena@cwi.nl			 			1
CWI, Amsterdam, The Netherlands. mk@cwi.nl			 			1
CWI, Amsterdam, The Netherlands. niels@cwi.nl			 			1
CWI, Cryptology and Information Security Group Amsterdam, The Netherlands			 			1
CWI, Netherlands			 			1
CWI-Mathematics and Computer Science, Kruislaan			 			1
Ca' Foscari University of Venice			 			1
Cadence Design Systems and CNRS, Berkeley, CA, USA			 			1
Cadence Design Systems, Berkeley, CA, USA			 			1
Cadence Research Labs, Berkeley, CA			 			1
Cadent Ltd.			 			1
Caesar's Entertainment, Las Vegas, NV, USA			 			1
Cairo TDC, IBM, Cairo, Egypt			IBM			1
Cairo University, Cairo			 			1
Cairo University, Egypt			 			1
Cal Poly San Luis Obispo			 			1
Cal Poly at San Luis Obispo			 			1
California Institute of Technology & University of Southern California, Pasadena, CA, USA			California Institute of Technology			1
California Institute of Technology, Pasadena, CA and Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI			California Institute of Technology			1
California Institute of Technology, Pasadena, CA and University of Southern California, Los Angeles, CA			California Institute of Technology			1
California Institute of Technology, Pasadena, California			California Institute of Technology			1
California Institute of Technology, Pasadena, California, USA			California Institute of Technology			1
California Institute of Technology, Pasadena, USA 91125			California Institute of Technology			1
California Institute of Technology/Jet Propulsion Laboratory , Pasadena , CA, USA			California Institute of Technology			1
California Lutheran University			 			1
California NanoSystems Institute and University of California at Los Angeles, Los Angeles, CA, USA			University of California, Los Angeles			1
California Polytechnic State University & PLT, San Luis Obispo & PLT, CA, USA			 			1
